date;link;name;where;price;perm;rooms;sqm;who;id;type;latitude;longitude;neighbourhood;suburb
2023-08-02;http://www.otodom.pl/pl/oferta/2-pokoje-w-centrum-uniwersytet-ten-rok-ID4mura;2 Pokoje w Centrum - Uniwersytet ‼️ Ten rok ‼️;ul. dr. Stefana Kopcińskiego, Stary Widzew, Widzew, Łódź, łódzkie;368740;8950;2;41.2;RYNEK PIERWOTNY;ID4mura;N;51.775723;19.4822441;Radiostacja;Łódź-Śródmieście
2023-08-02;http://www.otodom.pl/pl/oferta/mieszkanie-na-drugim-pietrze-super-okolicy-ID4kbJD;Mieszkanie na drugim piętrze super okolicy .;ul. ks. Hugona Kołłątaja, Fabryczna, Śródmieście, Łódź, łódzkie;370000;6444;2;57.42;Metrohouse  Franchise S.A.;ID4kbJD;N;51.7798898;19.4758483;Śródmieście-Wschód;Łódź-Śródmieście
2023-08-02;http://www.otodom.pl/pl/oferta/2-pok-loft-na-tymienieckiego-25d-ID4kO1u;2-pok. Loft na Tymienieckiego 25D;ul. ks. bp. Wincentego Tymienieckiego, Księży Młyn, Widzew, Łódź, łódzkie;499851;9900;2;50.49;AJ Promotion;ID4kO1u;N;51.7487443;19.4617167;Katedralna;Łódź-Śródmieście
2023-08-02;http://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-na-karolewie-ID4mbBL;Mieszkanie 2-pokojowe na Karolewie;Karolew, Polesie, Łódź, łódzkie;286000;7666;2;37.31;House Factory;ID4mbBL;N;51.7477263;19.420901093925643;Karolew;Łódź-Polesie
2023-08-02;http://www.otodom.pl/pl/oferta/4-pokoje-po-remoncie-ul-brzoski-34-ID4lmqk;4 Pokoje Po Remoncie, Ul. Brzóski 34;ul. ks. Stanisława Brzóski, Stare Bałuty, Bałuty, Łódź, łódzkie;585000;7519;4;77.8;HAPPY HOME MACIEJ IRACKI;ID4lmqk;N;51.7905295;19.4386815;Osiedle Pojezierska;Łódź-Bałuty
